date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:38	120/120	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Jun%202024%2014:24:38%20GMT	https://rosangelachiaretti.com.br/robots.txt		(from )
11:24:38	138684/138684	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jun%202024%2014:24:38%20GMT	https://rosangelachiaretti.com.br/	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/index.html	(from )
11:24:38	113381/113381	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2018:49:54%20GMT	https://rosangelachiaretti.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.5.5	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-includes/css/dist/block-library/style.minadc6.css	(from https://rosangelachiaretti.com.br/)
11:24:39	6082/6082	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2020:35:22%20GMT	https://rosangelachiaretti.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.8.1	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/themes/hello-elementor/style.min1102.css	(from https://rosangelachiaretti.com.br/)
11:24:39	77296/77296	---MC-	200	added ('OK')	application/rss+xml	etag:%2216e3e29688f07f912e96bcd3794c1dbd%22	https://rosangelachiaretti.com.br/feed/	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/feed/index.html	(from https://rosangelachiaretti.com.br/)
11:24:39	13055/13055	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2020:35:22%20GMT	https://rosangelachiaretti.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.8.1	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/themes/hello-elementor/theme.min1102.css	(from https://rosangelachiaretti.com.br/)
11:24:39	1692/1692	---M--	200	added ('OK')	application/rss+xml	etag:%2216e3e29688f07f912e96bcd3794c1dbd%22	https://rosangelachiaretti.com.br/comments/feed/	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/comments/feed/index.html	(from https://rosangelachiaretti.com.br/)
11:24:39	117324/117324	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Sep%202023%2017:58:24%20GMT	https://rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.16.4	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.minafc7.css	(from https://rosangelachiaretti.com.br/)
11:24:40	1706/1706	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202023%2013:42:51%20GMT	https://rosangelachiaretti.com.br/wp-content/uploads/elementor/css/post-10.css?ver=1701351771	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/uploads/elementor/css/post-1089c5.css	(from https://rosangelachiaretti.com.br/)
11:24:40	19533/19533	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Aug%202023%2016:47:32%20GMT	https://rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://rosangelachiaretti.com.br/)
11:24:40	12876/12876	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2014:22:46%20GMT	https://rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://rosangelachiaretti.com.br/)
11:24:40	11338/11338	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2020:31:06%20GMT	https://rosangelachiaretti.com.br/wp-content/plugins/pro-elements/assets/css/frontend-lite.min.css?ver=3.15.1	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/plugins/pro-elements/assets/css/frontend-lite.min5829.css	(from https://rosangelachiaretti.com.br/)
11:24:41	59344/59344	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2014:22:46%20GMT	https://rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.16.4	//Mac/Home/Downloads/site%20ro/Rosangela%20Novo%20Site/rosangelachiaretti.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minafc7.css	(from https://rosangelachiaretti.com.br/)
